RA,DEC,Vmag
53.023304,-49.158863,7.88
53.025925,16.728003,8.6
53.035835,48.023476,5.47
53.03588,62.26799,7.16
53.036747,0.28840554,8.31
53.039276,42.74932,7.27
53.04055,30.00608,7.88
53.04128,-50.81959,8.52
53.046787,37.38206,9.3
53.0482,-8.12968,10.54
53.04976,11.542426,6.79
53.05017,3.8768587,8.3
53.054302,-32.308006,7.95
53.054943,-31.57055,8.23
53.059658,-42.918224,9.56
53.059986,36.1357,10.05
53.063515,-65.414345,7.92
53.06408,-7.0901184,7.31
53.06844,44.840687,7.24
53.069237,-7.0900626,9.74
53.07334,40.92073,6.73
53.08054,4.650128,9.61
53.083855,84.91104,5.62
53.09016,63.818687,9.68
53.09387,-33.501144,8.83
53.09382,-34.96732,8.72
53.09944,-8.603724,8.05
53.10335,76.617424,8.33
53.104694,-3.3133578,8.29
53.1068,12.363485,8.33
53.10795,-4.3610888,8.18
53.109417,46.05686,5.3
53.10994,-24.616419,7.03
53.10997,-11.965184,8.52
53.11081,52.065895,8.47
53.111134,-25.658499,8.09
53.113125,10.738183,8.51
53.11319,20.175484,8.42
53.132885,51.48959,10.23
53.133705,31.64796,7.75
53.137917,26.746412,10.08
53.14501,-50.378647,5.67
53.147675,-23.628796,9.96
53.149788,9.373438,5.76
53.152992,17.26897,9.8
53.15727,28.365839,8.57
53.15876,55.18527,8.87
53.161358,3.1499457,7.82
53.162407,44.85576,6.42
53.166325,35.659294,7.29
53.166737,35.46173,5.91
53.174244,-1.6676984,8.98
53.17723,-4.4203176,8.69
53.178265,-51.789017,9.47
53.180004,-61.394054,7.3
53.182407,-60.574284,7.56
53.188538,54.254948,8.7
53.189705,11.4531145,10.64
53.192776,-66.72948,7.51
53.192745,-59.81152,9.24
53.201874,-0.50268555,8.46
53.20866,23.692184,8.88
53.212822,5.254597,7.33
53.214825,-61.016872,6.42
53.223507,15.549809,8.52
53.229134,-45.5497,8.87
53.22973,12.974552,10.16
53.23261,-13.233674,8.99
53.23274,-44.70195,11.47
53.232685,-9.458262,3.72
53.239723,16.598429,7.03
53.24709,-75.13262,8.62
53.24837,-67.41949,7.48
53.250614,6.6430173,10.1
53.265217,-58.64166,8.56
53.265377,-1.2954439,9.01
53.2659,-46.722305,8.72
53.267414,-18.818327,10.74
53.270103,-18.414665,9.0
53.271713,-46.779526,8.43
53.272102,4.9581127,11.88
53.277946,-23.766903,8.22
53.280388,76.83629,9.02
53.282116,19.383255,8.07
53.282326,35.39892,7.29
53.2902,-48.91489,8.21
53.297604,-10.045405,7.34
53.298676,46.07386,9.32
53.300648,-1.8606373,7.42
53.30076,33.35888,7.63
53.303883,-15.548219,9.11
53.30529,7.452864,11.17
53.30581,-53.410435,9.29
53.30621,46.25737,8.15
53.30604,38.16147,10.74
53.30719,62.429424,9.36
53.30756,-69.87001,8.42
53.31103,-25.871662,11.34
53.314713,-10.060003,8.55
53.328465,-32.505486,9.02
53.332893,15.536956,9.1
53.333313,3.4402542,10.66
53.337383,47.950085,6.6
53.338135,15.197997,9.81
53.338306,13.782415,6.9
53.33881,62.22993,8.68
53.342716,47.422047,8.21
53.344543,52.952618,8.95
53.346123,36.684727,11.06
53.34763,-37.104946,8.99
53.35277,-1.5070872,10.14
53.35475,-4.3845067,8.65
53.360455,65.55195,7.18
53.361763,59.416763,8.08
53.374153,-2.5500224,10.74
53.374302,-2.5429516,8.7
53.374283,58.76277,7.9
53.377552,-29.002665,9.24
53.377716,55.559277,7.91
53.384186,58.76524,6.45
53.391766,-44.583733,8.32
53.393757,-62.640472,7.41
53.395527,-19.066605,9.16
53.39598,39.89948,5.79
53.3994,-69.016525,9.25
53.39966,14.678491,7.6
53.40672,-46.982006,9.54
53.40643,-19.066221,10.56
53.407993,-7.415008,7.59
53.40877,-22.950333,8.58
53.41233,17.329254,8.49
53.41275,54.974857,5.98
53.4198,-0.3981225,8.68
53.420235,-7.4290056,7.95
53.421837,57.868725,6.37
53.4316,37.795963,8.04
53.433743,9.684103,8.5
53.434677,52.249153,10.27
53.436687,6.926006,7.16
53.438427,-15.127901,7.05
53.439907,-21.92752,10.11
53.443676,8.29057,8.74
53.445778,63.440994,8.17
53.446983,-21.632883,4.26
53.44859,52.288116,8.81
53.45204,18.227789,7.99
53.452618,-62.16728,7.57
53.453934,10.233788,8.7
53.454407,57.40893,11.2
53.454792,-38.034058,8.83
53.45538,21.01958,10.28
53.465412,-43.202446,9.92
53.466484,-42.15156,9.34
53.471317,34.285076,9.43
53.47381,-33.437244,8.93
53.474216,56.31404,8.24
53.476223,-30.628021,7.16
53.476513,50.296654,9.52
53.481674,32.08358,8.65
53.48479,15.625606,9.57
53.48662,-31.080114,6.2
53.49213,-20.369976,8.87
53.495724,-34.79635,8.8
53.495934,60.40886,9.1
53.49999,40.9747,8.72
53.500153,64.44886,9.1
53.50335,-62.771885,9.15
53.507534,24.880909,10.87
53.50947,39.306248,8.13
53.513897,-60.1412,8.15
53.518562,-41.33863,7.74
53.530457,24.344448,9.54
53.53102,36.084976,9.36
53.534912,17.832829,6.14
53.53572,50.583286,9.55
53.53647,21.728971,9.22
53.541035,46.849197,8.9
53.54189,-54.51173,7.61
53.551434,73.57531,10.3
53.551994,-16.16407,10.37
53.552784,-5.058465,9.43
53.55401,48.617462,7.35
53.555786,-72.845634,8.07
53.556824,3.432278,7.51
53.566177,47.275932,9.27
53.566376,-6.5207233,7.85
53.56698,0.15257849,9.99
53.5757,44.2699,9.44
53.57977,59.73493,7.77
53.580536,45.324104,9.1
53.58382,-14.71045,7.92
53.584194,23.150105,9.76
53.590797,8.662434,8.91
53.603413,-65.76422,6.74
53.605526,20.374098,8.14
53.610554,6.038027,10.95
53.61094,24.464394,5.95
53.62387,-52.123844,9.08
53.624367,-34.832417,7.04
53.624886,45.808296,9.37
53.62625,22.759424,8.22
53.62993,29.565283,10.23
53.63893,-64.70938,7.98
53.63906,14.175846,8.79
53.639954,-31.874802,6.39
53.64288,-50.972687,9.02
53.64559,18.873873,9.24
53.645664,0.6804804,8.56
53.65147,33.000977,9.09
53.656128,-9.868261,6.25
53.656807,58.64536,9.26
53.657562,-10.794924,8.84
53.657856,-22.14508,9.07
53.658924,-12.297881,7.68
53.659954,-62.55729,6.97
53.660046,-31.073055,11.42
53.6606,63.88893,7.77
53.661118,-53.520473,8.82
53.663967,-7.3757486,8.22
53.676647,-16.236216,8.92
53.67726,44.80312,7.52
53.678734,-54.322273,6.84
53.678562,6.8432903,9.58
53.685287,-47.270027,10.24
53.687298,38.8056,7.91
53.688705,-62.456833,9.43
53.694473,-53.741657,9.06
53.704506,-44.64337,7.83
53.704506,6.417691,6.49
53.718357,-25.582825,6.48
53.722214,3.360506,8.35
53.724697,-3.411974,7.52
53.72759,67.28023,9.0
53.735573,19.810139,8.7
53.738113,-19.838087,9.71
53.739353,21.01763,8.6
53.7398,26.60828,8.4
53.74124,29.313324,8.94
53.743725,19.312782,9.18
53.74394,17.710567,9.85
53.744553,-40.0321,9.76
53.748528,34.61099,10.87
53.75137,2.6618216,10.67
53.753914,-48.41914,8.57
53.754204,60.041428,6.43
53.755005,32.01677,6.66
53.75891,62.525322,8.16
53.764404,11.04584,7.99
53.764683,45.449417,7.53
53.76565,-24.307323,7.42
53.775185,27.948044,9.79
53.77595,38.58567,7.01
53.776176,-35.937626,7.76
53.77693,-4.898657,8.44
53.783176,-57.81025,7.42
53.792324,5.7140117,7.48
53.799477,38.01517,7.6
53.8013,73.34693,6.56
53.802773,-39.945557,8.5
53.80376,-0.7388988,8.54
53.80491,1.7795368,8.75
53.809254,42.590805,8.82
53.81233,-67.86283,8.72
53.81335,70.02693,9.53
53.814484,-49.4174,7.85
53.81955,2.0300026,9.18
53.82153,-8.768199,9.08
53.822044,42.591946,9.55
53.82398,-24.896149,8.74
53.82655,18.90308,7.57
53.83031,11.396758,8.29
53.830036,5.725289,12.16
53.835094,26.850107,8.56
53.838135,-48.114986,9.06
53.83888,26.852686,8.67
53.840282,-23.946663,8.71
53.845356,33.67635,8.48
53.85301,-28.336609,8.82
53.853886,-63.665466,9.4
53.859905,35.479843,8.43
53.86711,14.174846,9.87
53.868874,59.5284,8.03
53.873398,39.163765,9.38
53.878,-27.185713,11.68
53.878834,-26.429874,8.78
53.882065,22.82359,9.86
53.88649,-11.075223,8.87
53.888878,86.399734,9.05
53.8906,-59.264618,9.86
53.907818,31.680443,6.86
53.908535,-52.556644,8.04
53.909935,43.290554,9.44
53.912354,12.039623,10.49
53.92513,39.309788,8.89
53.927334,-53.206085,8.1
53.9307,-31.149881,8.47
53.932106,35.510815,9.16
53.933285,-28.707767,9.7
53.936832,-3.864496,8.73
53.93947,61.170666,8.67
53.942657,-82.31396,9.35
53.942436,-30.738544,8.45
53.95348,-9.060753,8.64
53.955727,64.22358,8.42
53.957558,-43.716385,7.02
53.96075,-26.787382,8.6
53.967556,42.886753,7.9
53.970848,-69.192986,8.64
53.97861,-20.152208,8.66
53.980373,-10.190802,9.0
53.981308,9.565932,11.4
53.98853,-5.124954,6.49
53.990276,-11.193782,5.56
53.991325,-84.163155,9.46
53.993706,47.09103,6.89
53.99686,-23.51814,8.85
53.999947,23.914125,9.02
54.001213,-61.54247,7.65
54.00143,8.760196,12.45
54.003258,34.143757,10.29
54.01324,16.46741,7.65
54.015896,63.288124,7.33
54.018955,46.584484,7.32
54.020473,27.593191,7.39
54.033234,-17.08417,8.99
54.03946,42.339413,8.32
54.042103,-51.216007,8.6
54.047283,29.98331,7.62
54.048817,8.8864565,7.6
54.05102,-73.973816,7.62
54.052757,-28.748978,8.43
54.054028,-18.550257,7.86
54.061768,-47.200806,7.98
54.065067,-5.5873675,9.4
54.069466,17.81207,8.6
54.07255,-17.467064,5.24
54.07541,-45.447487,9.34
54.08197,25.398989,9.27
54.082623,28.961277,8.16
54.08559,-61.491344,9.24
54.089443,19.559315,8.36
54.090347,-1.5685284,8.93
54.091324,55.886837,6.81
54.09684,18.36199,8.73
54.098866,-73.395134,8.48
54.10143,20.067612,7.47
54.10381,-74.392044,10.01
54.104183,-19.376707,7.34
54.104107,-79.0987,6.84
54.104866,-27.888615,9.47
54.108566,67.952194,8.2
54.10861,51.44013,10.23
54.109077,52.931404,7.21
54.11169,-77.11619,9.02
54.113884,12.007195,8.41
